DHB,Vacc,Total vaccine costs,Case wage loss,"Management, GP, Lab costs",Hospitalisation costs,Wage loss for contacts,Total discounted costs,Outbreak size post vaccination,Total discounted costs,Benefit/cost
Auckland,13840,692000,2277027.63157895,4847610.72192513,866329.35,7125711.41475304,13281678.9270103,82,4011409.47335116,2.8238406633
Bay of Plenty,3548,177400,530887.105263158,1130216.42245989,201983.97,1661353.71106397,3096612.4349162,71,3473293.56838942,0.8482257897
Canterbury,10520,526000,1624531.31578947,3458497.96256685,618077.33,5083794.84728421,9475731.89009903,62,3033016.91887527,2.6624576691
Capital and Coast,8250,412500,1335185.26315789,2842503.22994652,507991.28,4178317.706183,7788004.73362811,96,4696284.26148429,1.52443406
Counties Manukau,16008,800400,2672047.89473684,5688577.44385027,1016620.74,8361884.55521296,15585793.392801,50,2445981.38618973,4.8009742352
Hawke's Bay,2991,149550,455405.526315789,969522.144385027,173265.87,1425142.28295061,2656335.78540205,56,2739499.1525325,0.9194498415
Hutt Valley,3477,173850,549338.157894737,1169497.2459893,209003.95,1719094.28238057,3204235.61590855,86,4207087.98424634,0.7314040115
Lakes,2343,117150,366505,780259.994652406,139442.33,1146937.71206154,2137787.73152983,62,3033016.91887527,0.6786268114
MidCentral,3732,186600,581208.157894737,1237345.94117647,221129.37,1818827.99647287,3390130.20125897,75,3668972.0792846,0.8792807219
Nelson Marlborough,1617,80850,233154.210526316,496366.770053476,88707.02,729630.855727935,1359965.65072149,90,4402766.49514152,0.3033189061
Northland,2407,120350,356440.789473684,758834.090909091,135613.25,1115442.85497976,2079084.17826127,70,3424373.94066563,0.5865292229
South Canterbury,604,30200,86384.4736842105,183905.673796791,32866.27,270330.856618623,503872.165555085,72,3522213.19611322,0.1418394026
Southern,6561,328050,1014807.89473684,2160445.29411765,386098.9,3175731.42241296,5919274.95457916,102,4989802.02782706,1.1130950849
Tairawhiti,1147,57350,181994.473684211,387451.759358289,69242.53,569531.998895547,1061555.92160634,47,2299222.50301835,0.4504660562
Taranaki,2247,112350,343860.526315789,732051.711229947,130826.9,1076074.28362753,2005704.73667558,68,3326534.68521804,0.5832428012
Waikato,9232,461600,1462665.2631579,3113898.01069519,556492.96,4577252.56255223,8531583.07502979,95,4647364.6337605,1.6699240818
Wairarapa,532,26600,77158.9473684211,164265.262032086,29356.28,241460.570960324,450060.575058911,59,2886258.03570389,0.1545082423
Waitemata,13729,686450,2181417.63157895,4644064.63636364,829953.09,6826510.27247611,12723995.170959,70,3424373.94066563,3.0952420621
West Coast,497,24850,73804.2105263158,157123.294117647,28079.92,230962.285266397,430492.723969393,50,2445981.38618973,0.1742299075
Whanganui,1075,53750,161866.052631579,344599.951871658,61584.37,506542.284731984,944148.815069237,58,2837338.40798009,0.3265721008
